gene_id,locus_tag
SGL_RS05425,slr2019
SGL_RS05430,sll1921
SGL_RS05435,sll1920
SGL_RS05440,slr2023
SGL_RS05445,slr2024
SGL_RS05450,slr2025
SGL_RS05455,sll1917
SGL_RS05460,sll1916
SGL_RS05465,sll1915
SGL_RS05470,slr2026
SGL_RS05475,slr2027
SGL_RS05480,sll1913
SGL_RS05485,sll1912
SGL_RS05490,ssl3615
SGL_RS05495,sll1911
SGL_RS05500,sll1910
SGL_RS05505,slr2030
SGL_RS05510,slr2031
SGL_RS05515,SGL_RS05515
SGL_RS05520,slr1133
SGL_RS05525,slr1134
SGL_RS05530,slr1135
SGL_RS05535,sll1084
SGL_RS05540,slr1136
SGL_RS05545,slr1137
SGL_RS05550,slr1138
SGL_RS05555,slr1139
SGL_RS05560,slr1140
SGL_RS05565,sll1082
SGL_RS05570,sll1081
SGL_RS05575,sll1080
SGL_RS05580,sll1079
SGL_RS05585,sll1078
SGL_RS05590,sll1077
SGL_RS05595,slr1142
SGL_RS05600,slr1143
SGL_RS05605,sll1076
SGL_RS05610,SGL_RS05610
SGL_RS05615,sll1074
SGL_RS05620,slr1145
SGL_RS18710,SGL_RS18710
SGL_RS05630,slr1147
SGL_RS05635,slr1148
SGL_RS05640,slr1149
SGL_RS05645,slr1150
SGL_RS05650,sll1072
SGL_RS05655,sll1071
SGL_RS05660,sll1070
SGL_RS05665,sll1069
SGL_RS05670,ssl2084
SGL_RS05675,sll1068
SGL_RS05680,ssl3451
SGL_RS05685,slr1890
SGL_RS05690,sll1825
SGL_RS05695,SGL_RS05695
SGL_RS05700,sll1823
SGL_RS05705,ssl3446
SGL_RS05710,ssl3445
SGL_RS05715,sll1822
SGL_RS05720,sll1821
SGL_RS05725,sll1820
SGL_RS05730,sll1819
SGL_RS05735,sll1818
SGL_RS05740,sll1817
SGL_RS05745,sll1816
SGL_RS18715,SGL_RS18715
SGL_RS05750,ssl3441
SGL_RS05755,sll1815
SGL_RS05760,sll1814
SGL_RS05765,sll1813
SGL_RS05770,sll1812
SGL_RS05775,sll1811
SGL_RS05780,sll1810
SGL_RS05785,sll1809
SGL_RS05790,sll1808
SGL_RS05795,sll1807
SGL_RS05800,sll1806
SGL_RS05805,ssl3437
SGL_RS05810,ssl3436
SGL_RS05815,sll1805
SGL_RS05820,sll1804
SGL_RS05825,sll1803
SGL_RS05830,ssl3432
SGL_RS05835,sll1802
SGL_RS05840,sll1801
SGL_RS05845,sll1800
SGL_RS05850,sll1799
SGL_RS05855,slr1894
SGL_RS05860,sll1797
SGL_RS05865,slr1895
SGL_RS05870,slr1896
SGL_RS05875,sll1796
SGL_RS05880,slr1897
SGL_RS05885,slr1898
SGL_RS05890,slr1899
SGL_RS05895,slr1900
SGL_RS05900,slr1901
SGL_RS18720,SGL_RS18720
SGL_RS18725,SGL_RS18725
SGL_RS05925,sll1789
SGL_RS05930,sll1787
SGL_RS05935,sll1786
SGL_RS05940,ssl2233
SGL_RS05945,sll1124
SGL_RS05950,sll1123
SGL_RS05955,sll1121
SGL_RS05960,sll1120
SGL_RS05965,sll1119
SGL_RS05970,slr1194
SGL_RS05975,slr1195
SGL_RS05980,slr1196
SGL_RS05985,slr1197
SGL_RS05990,sll1118
SGL_RS05995,ssr2009
SGL_RS06000,slr1198
SGL_RS06005,slr1199
SGL_RS06010,slr1200
SGL_RS06015,slr1201
SGL_RS06020,slr1202
SGL_RS06025,slr1203
SGL_RS06030,slr1204
SGL_RS06035,slr1205
SGL_RS06040,slr1206
SGL_RS06045,slr1207
SGL_RS06050,ssr2016
SGL_RS06055,slr1208
SGL_RS06060,slr1209
SGL_RS06065,slr1210
SGL_RS06070,slr1211
SGL_RS06075,slr1212
SGL_RS06080,slr1213
SGL_RS06085,slr1214
SGL_RS06090,slr1215
SGL_RS06095,sll1112
SGL_RS19560,SGL_RS19560
SGL_RS06105,slr1216
SGL_RS06110,sll1971
SGL_RS06115,slr2070
SGL_RS06120,slr2071
SGL_RS06125,sll1969
SGL_RS06130,sll1968
SGL_RS06135,sll1967
SGL_RS06140,slr2072
SGL_RS06145,slr2073
SGL_RS06150,slr2074
SGL_RS06155,SGL_RS06155
SGL_RS06160,sll1965
SGL_RS06165,slr2075
SGL_RS06170,slr2076
SGL_RS06175,slr2077
SGL_RS06180,slr2078
SGL_RS19800,SGL_RS19800
SGL_RS06190,sll1747
SGL_RS06195,sll1746
SGL_RS06200,sll1745
SGL_RS06205,sll1744
SGL_RS06210,sll1743
SGL_RS06215,sll1742
SGL_RS06220,ssl3335
SGL_RS06225,ST6803t09
SGL_RS06230,sll1740
SGL_RS06235,slr1826
SGL_RS06240,slr1827
SGL_RS06245,sll1739
SGL_RS06250,sll1738
SGL_RS06255,sll1737
SGL_RS20120,SGL_RS20120
SGL_RS06260,slr1828
SGL_RS06265,slr1829
